The Shawshank Redemption|Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency|https://upload.wikimedia.org/wikipedia/en/8/81/ShawshankRedemptionMoviePoster.jpg|https://www.youtube.com/watch?v=6hB3S9bIaco
The Godfather|The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son|https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg|https://www.youtube.com/watch?v=sY1S34973zA
The Godfather: Part II|The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate|https://upload.wikimedia.org/wikipedia/en/0/03/Godfather_part_ii.jpg|https://www.youtube.com/watch?v=9O1Iy9od7-A
The Dark Knight|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice|https://upload.wikimedia.org/wikipedia/en/8/8a/Dark_Knight.jpg|https://www.youtube.com/watch?v=_PZpmTj1Q8Q
12 Angry Men|A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence|https://upload.wikimedia.org/wikipedia/en/9/91/12_angry_men.jpg|https://www.youtube.com/watch?v=Dosg0p7LAB4
Schindler's List|In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.|https://upload.wikimedia.org/wikipedia/en/3/38/Schindler%27s_List_movie.jpg|https://www.youtube.com/watch?v=gG22XNhtnoY
Pulp Fiction|The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.|https://upload.wikimedia.org/wikipedia/en/3/3b/Pulp_Fiction_%281994%29_poster.jpg|https://www.youtube.com/watch?v=tGpTpVyI_OQ
The Lord of the Rings: The Return of the King|Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring|https://upload.wikimedia.org/wikipedia/en/9/9d/Lord_of_the_Rings_-_The_Return_of_the_King.jpg|https://www.youtube.com/watch?v=r5X-hFf6Bwo
The Good, the Bad and the Ugly|A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery|https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg|https://www.youtube.com/watch?v=WCN5JJY_wiA
Fight Club|An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more|https://upload.wikimedia.org/wikipedia/en/f/fc/Fight_Club_poster.jpg|https://www.youtube.com/watch?v=BdJKm16Co6M
The Lord of the Rings: The Fellowship of the Ring|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron|https://upload.wikimedia.org/wikipedia/en/9/9d/The_Lord_of_the_Rings_The_Fellowship_of_the_Ring_%282001%29_theatrical_poster.jpg|https://www.youtube.com/watch?v=V75dMMIW2B4
Forrest Gump|JFK, LBJ, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75|https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Forrest_Gump_poster.jpg/220px-Forrest_Gump_poster.jpg|https://www.youtube.com/watch?v=bLvqoHBptjg
Star Wars: Episode V - The Empire Strikes Back|After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke|https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/SW_-_Empire_Strikes_Back.jpg/220px-SW_-_Empire_Strikes_Back.jpg|https://www.youtube.com/watch?v=JNwNXF9Y6kY
Inception|A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO|https://upload.wikimedia.org/wikipedia/en/2/2e/Inception_%282010%29_theatrical_poster.jpg|https://www.youtube.com/watch?v=YoHD9XEInc0
The Lord of the Rings: The Two Towers|While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard|https://upload.wikimedia.org/wikipedia/en/a/ad/Lord_of_the_Rings_-_The_Two_Towers.jpg|https://www.youtube.com/watch?v=LbfMDwc4azU
